Resource ID,Resource Name,Language Programs,Tiers,Literacy Pillars,Resource Types,Related Screeners,Related Subtests,Grade Ranges,Grade Filters,Notes,Evidence Classification,Hyperlink URLs
RES-0001,Abracadabra,English; French Immersion,1; 2,Alphabetic Principle; Phonemic Awareness; Phonics; Reading Comprehension; Reading Fluency,Instructional Resource; Intervention,CTOPP-2; DIBELS; IDAPEL; THaFoL,Blending; Elision; Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(1-2),1; 2,MLL,*,https://literacy.concordia.ca/resources/abra/teacher/en/; https://literacy.concordia.ca/resources/abra/teacher/fr/index.php
RES-0002,Alec,French Immersion,1,Alphabetic Principle; Phonics,Instructional Resource,THaFoL,Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,(M-5),1; 2; 3; 4; 5; M,,,https://fr.alec-edu.com/
RES-0003,Core Phonics Assessment - version française,French Immersion,2,Alphabetic Principle; Phonics,Drill Down Assessment,IDAPEL; THaFoL,Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique%2FFrench%20CORE%20phonics%20Assessment%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique
RES-0004,CORE Phonics Survey,English,2; 3,Alphabetic Principle; Phonics,Drill Down Assessment,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(K-12),1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9; K,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments%2FCORE%20Phonics%20Survey%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments
RES-0005,DIBELS Maze Progress Monitoring,English,2; 3,Reading Comprehension,Drill Down Assessment,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(2-8),2; 3; 4; 5; 6; 7; 8,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=RMQG7y&CID=2b4cc833%2D6eee%2D4304%2D8025%2D610cfaf221e3&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLRSD%20Literacy%20Assessments%2FDIBELS%20%2D%20English%2FProgress%20Monitoring
RES-0006,DIBELS Oral Reading Fluency Progress Monitoring,English,2; 3,Reading Fluency,Drill Down Assessment,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(2-8),2; 3; 4; 5; 6; 7; 8,,,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/LRSD%20Literacy%20Assessments/DIBELS%20-%20English/Progress%20Monitoring?csf=1&web=1&e=RMQG7y
RES-0007,Diffit – Produire ses propres textes et questions de compréhension,French Immersion,2,Reading Comprehension,Drill Down Assessment,IDAPEL; THaFoL,Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,,,Outil IA,,https://web.diffit.me/
RES-0008,Handwriting without Tears,English,1; 2; 3,Orthography,Instructional Resource; Intervention,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(2-12); (K-1),1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9; K,,,
RES-0009,Handwriting Without Tears - français,French Immersion,1,Orthography,Instructional Resource,,,(M-1),1; M,,,
RES-0010,Heggerty,English,1,Phonemic Awareness,Instructional Resource,CTOPP-2; DIBELS,Blending; Elision; Phonemic Segmentation Fluency,(K-2),1; 2; K,,**,https://heggerty.org/
