Literacy Pillar,Resource Type,Resource Name,Related Screeners,Related Subtests,Grade Range,Grade Filter,Notes,Hyperlink URL
Alphabetic Principle,Drill Down Assessment,Heggerty – Letter Name Sounds,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(3-8),"3,4,5,6,7,8",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments%2FLetter%2DNames%2DSounds%2DAssessment%2E2020%2D1%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments
Alphabetic Principle,Drill Down Assessment,CORE Phonics Survey,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(K-12),"K,1,2,3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments%2FCORE%20Phonics%20Survey%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments
Alphabetic Principle,Drill Down Assessment,Quick Phonics Screener,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(K-12),"K,1,2,3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=zM0Vr5&CID=09cccb99%2D754e%2D4539%2Dbacd%2D63499595c8ed&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments%2FQuick%20Phonics%20Screener%2Epdf&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments
Alphabetic Principle,Intervention,SRA Corrective Reading,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(3-12),"3,4,5,6,7,8,9,10,11,12",,
Phonemic Awareness,Drill Down Assessment,Kilpatrick PAST Assessment,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?newTargetListUrl=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy&viewpath=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FForms%2FAllItems%2Easpx&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FKilpatrick%20Assessment&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Phonemic Awareness,Drill Down Assessment,Heggerty – Phonemic Awareness Screener,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments%2FPA%2DScreener%2E2020%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonological%20Awareness%2FHeggerty%20Assessments
Phonemic Awareness,Intervention,Kilpatrick – Equipped for Reading Success,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://equippedforreadingsuccess.com/
Phonemic Awareness,Intervention,Heggerty – Bridge The Gap,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(2-12),"2,3,4,5,6,7,8,9,10,11,12",,https://shop.heggerty.org/shop-products/?_topic_category_facet=phonemic-awareness-intervention
Phonics,Drill Down Assessment,Words Their Way Inventory,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,,,,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Structured%20Literacy/Assessments%20%26%20Interventions/Phonics/Words%20Their%20Way%20Inventories?csf=1&web=1&e=bKahaI
Phonics,Drill Down Assessment,CORE Phonics Survey,DIBELS; CTOPP-2,Letter Naming Fluency; Phonemic Segmentation Fluency; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Word Reading Fluency; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Maze; Blending; Elision,(K-12),"K,1,2,3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments%2FCORE%20Phonics%20Survey%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments
