Literacy Pillar,Resource Type,Resource Name,Related Screeners,Related Subtests,Grade Range,Grade Filter,Notes,Hyperlink URL
Alphabetic Principle,Instructional Resource,Abracadabra,THaFoL,Facilité à nommer des lettres,(1-2),"1,2",,https://literacy.concordia.ca/resources/abra/teacher/fr/index.php
Alphabetic Principle,Instructional Resource,Page par page,THaFoL,Facilité à nommer des lettres,(M-1),"M,1",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Page%20par%20page?csf=1&web=1&e=6IK20Z
Alphabetic Principle,Instructional Resource,Les leçons du CBE,THaFoL,Facilité à nommer des lettres,(M-6),"M,1,2,3,4,5,6",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Alphabetic Principle,Instructional Resource,Son au graphe,THaFoL,Facilité à nommer des lettres,(M-2),"M,1,2",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Alphabetic Principle,Instructional Resource,Alec,THaFoL,Facilité à nommer des lettres,(M-5),"M,1,2,3,4,5",,https://fr.alec-edu.com/
Phonemic Awareness,Instructional Resource,Abracadabra,,,(1-2),"1,2",MLL,https://literacy.concordia.ca/resources/abra/teacher/fr/index.php
Phonemic Awareness,Instructional Resource,Phonémique version 1,,,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Pratique%20Phon%C3%A9mique%20-%20version%201.pdf?csf=1&web=1&e=GVZhpR
Phonemic Awareness,Instructional Resource,Phonémique version 2,,,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Pratique%20Phon%C3%A9mique%20-%20r%C3%A9vis%C3%A9.pdf?csf=1&web=1&e=uYTyKd
Phonemic Awareness,Instructional Resource,Kilpatrick – activités 1 minute,,,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Kilpatrick%20-%20Activit%C3%A9s%20d%27une%20minute%20en%20fran%C3%A7ais.pdf?csf=1&web=1&e=qEKdG8
Phonics,Instructional Resource,Abracadabra,THaFoL,Facilité à lire des non-mots; Facilité à lire des mots,(1-2),"1,2",,https://literacy.concordia.ca/resources/abra/teacher/fr/index.php
Phonics,Instructional Resource,Page par page,THaFoL,Facilité à lire des non-mots; Facilité à lire des mots,(M-1),"M,1",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Page%20par%20page?csf=1&web=1&e=6IK20Z
Phonics,Instructional Resource,Les leçons du CBE,THaFoL,Facilité à lire des non-mots; Facilité à lire des mots,(M-6),"M,1,2,3,4,5,6",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Phonics,Instructional Resource,Son au graphe,THaFoL,Facilité à lire des non-mots; Facilité à lire des mots,(M-2),"M,1,2",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Phonics,Instructional Resource,Alec,THaFoL,Facilité à lire des non-mots; Facilité à lire des mots,(M-5),"M,1,2,3,4,5",,https://fr.alec-edu.com/
Reading Fluency,Instructional Resource,Abracadabra,THaFoL; IDAPEL,Facilité en lecture orale,(1-2),"1,2",,https://literacy.concordia.ca/resources/abra/teacher/fr/index.php
Reading Fluency,Instructional Resource,Page par page,THaFoL; IDAPEL,Facilité en lecture orale,(M-1),"M,1",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Page%20par%20page?csf=1&web=1&e=6IK20Z
Reading Fluency,Instructional Resource,Les leçons du CBE,THaFoL; IDAPEL,Facilité en lecture orale,(M-6),"M,1,2,3,4,5,6",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Reading Fluency,Instructional Resource,Son au graphe,THaFoL; IDAPEL,Facilité en lecture orale,(M-2),"M,1,2",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Vocabulary,Instructional Resource,Page par page,,,(M-1),"M,1",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Page%20par%20page?csf=1&web=1&e=6IK20Z
Vocabulary,Instructional Resource,Les leçons du CBE,,,(M-6),"M,1,2,3,4,5,6",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Vocabulary,Instructional Resource,Son au graphe,,,(M-2),"M,1,2",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Reading Comprehension,Instructional Resource,Abracadabra,,,(1-2),"1,2",MLL,https://literacy.concordia.ca/resources/abra/teacher/fr/index.php
Reading Comprehension,Instructional Resource,Page par page,,,(M-1),"M,1",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Page%20par%20page?csf=1&web=1&e=6IK20Z
Reading Comprehension,Instructional Resource,Les leçons du CBE,,,(M-6),"M,1,2,3,4,5,6",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Reading Comprehension,Instructional Resource,Son au graphe,,,(M-2),"M,1,2",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Orthography,Instructional Resource,Handwriting Without Tears - français,,,(M-1),"M,1",,
Orthography,Instructional Resource,Page par page,,,(M-1),"M,1",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Page%20par%20page?csf=1&web=1&e=6IK20Z
Orthography,Instructional Resource,Les leçons du CBE,,,(M-6),"M,1,2,3,4,5,6",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Orthography,Instructional Resource,Son au graphe,,,(M-2),"M,1,2",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
