Literacy Pillar,Resource Type,Resource Name,Related Screeners,Related Subtests,Grade Range,Grade Filter,Notes,Hyperlink URL
Alphabetic Principle,Drill Down Assessment,Éclair,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=AKITHH&CID=a28657b0%2D63a1%2D482e%2Db4ba%2Dbbf7e907d7d7&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2F%C3%89clair
Alphabetic Principle,Drill Down Assessment,Core Phonics Assessment - version française,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique%2FFrench%20CORE%20phonics%20Assessment%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique
Alphabetic Principle,Intervention,Programme d’intervention en lecture et en orthographe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(M-3),"M,1,2,3",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FLes%20interventions&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Alphabetic Principle,Intervention,Les leçons du CBE,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Alphabetic Principle,Intervention,Son au graphe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Phonemic Awareness,Drill Down Assessment,Éclair,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=AKITHH&CID=a28657b0%2D63a1%2D482e%2Db4ba%2Dbbf7e907d7d7&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2F%C3%89clair
Phonemic Awareness,Intervention,Phonémique version 1,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Pratique%20Phon%C3%A9mique%20-%20version%201.pdf?csf=1&web=1&e=GVZhpR
Phonemic Awareness,Intervention,Phonémique version 2,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Pratique%20Phon%C3%A9mique%20-%20r%C3%A9vis%C3%A9.pdf?csf=1&web=1&e=uYTyKd
Phonemic Awareness,Intervention,Kilpatrick – activités 1 minute,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Kilpatrick%20-%20Activit%C3%A9s%20d%27une%20minute%20en%20fran%C3%A7ais.pdf?csf=1&web=1&e=qEKdG8
Phonics,Drill Down Assessment,Éclair,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=AKITHH&CID=a28657b0%2D63a1%2D482e%2Db4ba%2Dbbf7e907d7d7&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2F%C3%89clair
